Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,316,453
2,Mohammad Nabi,AFG,297,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,250,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Mitchell Santner,NZ,234,317
8,Glenn Maxwell,AUS,228,350
9,Marco Jansen,SA,223,223
10,Mehedi Hasan,BAN,216,295
11,Hardik Pandya,IND,215,262
12,Michael Leask,SCO,208,209
13,Ravindra Jadeja,IND,199,377
14,Josh Hazlewood,AUS,197,214
15,Sean Williams,ZIM,195,241
16,Mark Watt,SCO,194,201
17,Rachin Ravindra,NZ,190,190
18,Brandon McMullen,SCO,185,185
19,Wanindu Hasaranga,SL,183,252
20,Shadab Khan,PAK,183,221
