Pos,Player,Team,Rating,Career Best Rating
1,Babar Azam,PAK,857,898
2,Shubman Gill,IND,814,814
3,Rassie van der Dussen,SA,743,796
4,Imam-ul-Haq,PAK,728,815
5,Harry Tector,IRE,726,726
6,David Warner,AUS,720,880
7,Quinton de Kock,SA,714,813
8,Virat Kohli,IND,708,911
9,Heinrich Klaasen,SA,698,709
10,Rohit Sharma,IND,696,885
11,Fakhar Zaman,PAK,692,784
12,Shai Hope,WI,677,808
13,Dawid Malan,ENG,675,675
14,Steve Smith,AUS,668,752
15,Temba Bavuma,SA,668,691
16,Jos Buttler,ENG,667,741
17,David Miller,SA,656,656
18,Jason Roy,ENG,655,782
19,Ibrahim Zadran,AFG,644,663
20,Mushfiqur Rahim,BAN,640,739
21,Jonny Bairstow,ENG,633,796
22,Travis Head,AUS,630,670
23,Kane Williamson,NZ,626,799
24,Paul Stirling,IRE,625,697
25,Ishan Kishan,IND,624,625
26,Sikandar Raza,ZIM,615,627
27,Gerhard Erasmus,NAM,614,618
28,Kariyawasa Asalanka,SL,612,622
29,Alex Carey,AUS,609,669
30,Tom Latham,NZ,609,657
31,Shakib Al Hasan,BAN,609,692
32,Pathum Nissanka,SL,608,625
33,Joe Root,ENG,603,824
34,Nicholas Pooran,WI,601,634
35,Aiden Markram,SA,601,601
36,Ben Stokes,ENG,588,694
37,Glenn Maxwell,AUS,582,735
38,Shreyas Iyer,IND,581,673
39,Lokesh Rahul,IND,580,657
40,Rahmanullah Gurbaz,AFG,579,629
41,Daryl Mitchell,NZ,577,600
42,Scott Edwards,NED,577,594
43,Rahmat Shah,AFG,574,635
44,Tamim Iqbal,BAN,574,737
45,Marnus Labuschagne,AUS,571,574
46,Sean Williams,ZIM,566,571
47,Litton Das,BAN,548,627
48,Mohammad Rizwan,PAK,548,548
49,Kusal Mendis,SL,545,631
50,Devon Conway,NZ,538,584
51,Assad Vala,PNG,536,550
52,Martin Guptill,NZ,534,789
53,Shikhar Dhawan,IND,530,813
54,George Munsey,SCO,529,587
55,Andrew Balbirnie,IRE,526,584
56,Mitchell Marsh,AUS,521,641
57,Hashmatullah Shaidi,AFG,519,543
58,Vriitya Aravind,UAE,518,538
59,Max O'Dowd,NED,516,517
60,Gajanand Singh,USA,512,512
61,Aaron Jones,USA,510,540
62,Najibullah Zadran,AFG,508,555
63,Mahmudullah,BAN,508,595
64,Kyle Coetzer,SCO,506,647
65,Aqib Ilyas,OMA,501,578
66,Muhammad Waseem,UAE,500,511
67,Hardik Pandya,IND,496,561
68,Richard Berrington,SCO,496,535
69,Monank Patel,USA,493,554
70,Zeeshan Maqsood,OMA,487,514
71,Mohammad Nabi,AFG,487,545
72,Michael Leask,SCO,484,491
73,Aasif Sheikh,NEP,479,496
74,Asif Khan,UAE,476,476
75,Ayaan Khan,OMA,476,476
76,Haris Sohail,PAK,476,618
77,Henry Nicholls,NZ,472,596
78,Will Young,NZ,467,480
79,Janneman Malan,SA,466,616
80,Kashyap Prajapati,OMA,464,464
81,Craig Ervine,ZIM,464,524
82,Nazmul Shanto,BAN,463,477
83,Steven Taylor,USA,462,501
84,R.K. Paudel,NEP,461,519
85,Brandon King,WI,458,471
86,Michael van Lingen,NAM,457,465
87,Dimuth Karunaratne,SL,455,477
88,George Dockrell,IRE,454,454
89,Jatinder Singh,OMA,453,506
90,Dhananjaya de Silva,SL,451,487
91,Vikramjit Singh,NED,450,451
92,Towhid Hridoy,BAN,447,447
93,Brandon McMullen,SCO,445,445
94,Curtis Campher,IRE,444,444
95,Marcus Stoinis,AUS,443,616
96,Sadeera Samarawickrama,SL,440,450
97,Ryan Burl,ZIM,437,437
98,Iftikhar Ahmed,PAK,433,433
99,Kushal Bhurtel,NEP,432,432
100,Mitchell Santner,NZ,432,502
