Pos,Player,Team,Rating,Career Best Rating
1,Shubman Gill,IND,830,847
2,Babar Azam,PAK,824,898
3,Quinton de Kock,SA,771,813
4,Virat Kohli,IND,770,911
5,David Warner,AUS,743,880
6,Rohit Sharma,IND,739,885
7,Rassie van der Dussen,SA,730,796
8,Harry Tector,IRE,729,729
9,Heinrich Klaasen,SA,725,756
10,Dawid Malan,ENG,704,711
11,Fakhar Zaman,PAK,694,784
12,Ibrahim Zadran,AFG,692,692
13,Imam-ul-Haq,PAK,679,815
14,Shai Hope,WI,677,808
15,Daryl Mitchell,NZ,673,677
16,David Miller,SA,649,661
17,Aiden Markram,SA,646,656
18,Shreyas Iyer,IND,643,673
19,Steve Smith,AUS,639,752
20,Kariyawasa Asalanka,SL,638,638
21,Scott Edwards,NED,632,648
22,Pathum Nissanka,SL,624,638
23,Temba Bavuma,SA,624,691
24,Rahmanullah Gurbaz,AFG,623,649
25,Paul Stirling,IRE,623,697
26,Lokesh Rahul,IND,623,657
27,Sikandar Raza,ZIM,615,627
28,Gerhard Erasmus,NAM,614,618
29,Marnus Labuschagne,AUS,614,625
30,Jos Buttler,ENG,613,741
31,Mushfiqur Rahim,BAN,604,739
32,Nicholas Pooran,WI,601,634
33,Jason Roy,ENG,598,782
34,Kane Williamson,NZ,596,799
35,Mohammad Rizwan,PAK,593,596
36,Travis Head,AUS,592,670
37,Jonny Bairstow,ENG,589,796
38,Glenn Maxwell,AUS,587,735
39,Rahmat Shah,AFG,585,635
40,Tom Latham,NZ,579,657
41,Joe Root,ENG,578,824
42,Shakib Al Hasan,BAN,576,692
43,Devon Conway,NZ,570,602
44,Sean Williams,ZIM,566,571
45,Ishan Kishan,IND,565,625
46,Kusal Mendis,SL,556,631
47,Ben Stokes,ENG,554,694
48,Mahmudullah,BAN,544,595
49,Rachin Ravindra,NZ,542,542
50,Hashmatullah Shaidi,AFG,542,545
51,Mitchell Marsh,AUS,542,641
52,Litton Das,BAN,540,627
53,Alex Carey,AUS,538,669
54,Assad Vala,PNG,536,550
55,Sadeera Samarawickrama,SL,530,532
56,George Munsey,SCO,529,587
57,Tamim Iqbal,BAN,528,737
58,Andrew Balbirnie,IRE,521,584
59,Vriitya Aravind,UAE,518,538
60,Will Young,NZ,518,523
61,Gajanand Singh,USA,512,512
62,Aaron Jones,USA,510,540
63,Max O'Dowd,NED,509,517
64,Kyle Coetzer,SCO,506,647
65,Nazmul Shanto,BAN,502,505
66,Aqib Ilyas,OMA,501,578
67,Muhammad Waseem,UAE,500,511
68,Richard Berrington,SCO,496,535
69,Monank Patel,USA,493,554
70,Zeeshan Maqsood,OMA,487,514
71,Michael Leask,SCO,484,491
72,Aasif Sheikh,NEP,479,496
73,Martin Guptill,NZ,478,789
74,Asif Khan,UAE,476,476
75,Ayaan Khan,OMA,476,476
76,Shikhar Dhawan,IND,474,813
77,Mohammad Nabi,AFG,467,545
78,Hardik Pandya,IND,465,561
79,Kashyap Prajapati,OMA,464,464
80,Najibullah Zadran,AFG,464,555
81,Craig Ervine,ZIM,464,524
82,Steven Taylor,USA,462,501
83,R.K. Paudel,NEP,461,519
84,Henry Nicholls,NZ,461,596
85,George Dockrell,IRE,460,460
86,Brandon King,WI,458,471
87,Glenn Phillips,NZ,458,458
88,Michael van Lingen,NAM,457,465
89,Iftikhar Ahmed,PAK,453,453
90,Jatinder Singh,OMA,453,506
91,Brandon McMullen,SCO,445,445
92,Abdullah Shafique,PAK,441,468
93,Vikramjit Singh,NED,441,467
94,Curtis Campher,IRE,440,444
95,Haris Sohail,PAK,439,618
96,Ryan Burl,ZIM,437,437
97,Suryakumar Yadav,IND,435,437
98,Kushal Bhurtel,NEP,432,432
99,Dhananjaya de Silva,SL,432,487
100,Tony Ura,PNG,431,431
