Pos,Player,Team,Rating,Career Best Rating
1,Mohammed Siraj,IND,694,736
2,Josh Hazlewood,AUS,678,733
3,Trent Boult,NZ,677,775
4,Mujeeb Ur Rahman,AFG,657,712
5,Rashid Khan,AFG,655,806
6,Mitchell Starc,AUS,652,783
7,Matt Henry,NZ,645,691
8,Adam Zampa,AUS,642,670
9,Kuldeep Yadav,IND,638,765
10,Shaheen Afridi,PAK,632,688
11,Chris Woakes,ENG,626,711
12,Mohammad Nabi,AFG,621,657
13,Mark Watt,SCO,611,622
14,Shakib Al Hasan,BAN,610,717
15,Keshav Maharaj,SA,599,599
16,Kagiso Rabada,SA,594,724
17,Maheesh Theekshana,SL,593,611
18,Bernard Scholtz,NAM,589,589
19,Saurabh Netravalkar,USA,586,597
20,Jofra Archer,ENG,573,642
21,Lungi Ngidi,SA,570,621
22,Pat Cummins,AUS,567,729
23,Haris Rauf,PAK,566,577
24,Akeal Hosein,WI,563,597
25,Andy McBrine,IRE,562,646
26,Alzarri Joseph,WI,558,625
27,Jasprit Bumrah,IND,555,841
28,Mark Adair,IRE,549,565
29,Mustafizur Rahman,BAN,549,695
30,Sandeep Lamichhane,NEP,539,595
31,Shardul Thakur,IND,534,546
32,Tabraiz Shamsi,SA,533,597
33,David Willey,ENG,531,569
34,Mohammad Shami,IND,526,654
35,Mehedi Hasan,BAN,524,725
36,Richard Ngarava,ZIM,518,524
37,Adil Rashid,ENG,518,687
38,Taskin Ahmed,BAN,513,528
39,Christopher Sole,SCO,509,511
40,Ruben Trumpelmann,NAM,508,510
41,Wanindu Hasaranga,SL,508,582
42,Fazalhaq Farooqi,AFG,507,544
43,Reece Topley,ENG,503,505
44,Mitchell Santner,NZ,502,663
45,Mark Wood,ENG,502,615
46,Aayan Afzal Khan,UAE,500,517
47,Joshua Little,IRE,499,533
48,Bilal Khan,OMA,499,545
49,Mohammad Nawaz,PAK,496,549
50,Hardik Pandya,IND,491,552
51,Logan van Beek,NED,485,485
52,Zeeshan Maqsood,OMA,483,510
53,Blessing Muzarabani,ZIM,482,515
54,Kaleemullah,OMA,481,481
55,Nosthush Kenjige,USA,479,479
56,Safyaan Sharif,SCO,477,542
57,Shadab Khan,PAK,475,607
58,Rohan Mustafa,UAE,473,523
59,Sean Abbott,AUS,471,471
60,Moeen Ali,ENG,469,629
61,Naseem Shah,PAK,469,474
62,Fred Klaassen,NED,468,507
63,Sikandar Raza,ZIM,468,494
64,Assad Vala,PNG,464,467
65,Chad Soper,PNG,462,488
66,Tim Southee,NZ,460,638
67,Yuzvendra Chahal,IND,459,730
68,Dipendra Airee,NEP,458,482
69,Taijul Islam,BAN,456,502
70,Lachlan Ferguson,NZ,455,668
71,Sam Curran,ENG,448,454
72,Zahoor Khan,UAE,446,490
73,Dushmantha Chameera,SL,445,552
74,Ravindra Jadeja,IND,443,738
75,Junaid Siddique,UAE,439,440
76,Anrich Nortje,SA,439,479
77,Michael Leask,SCO,431,439
78,Craig Young,IRE,430,470
79,Mohammad Shoriful Islam,BAN,429,433
80,Dhananjaya de Silva,SL,429,480
81,Jason Holder,WI,429,486
82,Ashton Agar,AUS,427,456
83,Simi Singh,IRE,424,507
84,Aryan Dutt,NED,421,423
85,Tangeni Lungameni,NAM,421,443
86,Marco Jansen,SA,421,421
87,Karan KC,NEP,418,424
88,Brandon McMullen,SCO,417,417
89,Mohammad Wasim,PAK,416,446
90,Gudakesh Motie-Kanhai,WI,411,411
91,Marcus Stoinis,AUS,411,426
92,Gulbadin Naib,AFG,411,472
93,Nisarg Patel,USA,409,414
94,Sompal Kami,NEP,409,457
95,Ish Sodhi,NZ,407,509
96,Jhye Richardson,AUS,401,548
97,Lalit Rajbanshi,NEP,399,403
98,Kasun Rajitha,SL,394,415
99,Wayne Parnell,SA,390,550
100,Andile Phehlukwayo,SA,389,613
