Pos,Player,Team,Rating,Career Best Rating
1,Josh Hazlewood,AUS,682,733
2,Mohammed Siraj,IND,664,736
3,Trent Boult,NZ,650,775
4,Mujeeb Ur Rahman,AFG,648,712
5,Matt Henry,NZ,647,691
6,Rashid Khan,AFG,643,806
7,Mitchell Starc,AUS,632,783
8,Kuldeep Yadav,IND,622,765
9,Mohammad Nabi,AFG,621,657
10,Adam Zampa,AUS,617,670
11,Shaheen Afridi,PAK,613,688
12,Mark Watt,SCO,611,622
13,Keshav Maharaj,SA,611,611
14,Chris Woakes,ENG,599,711
15,Kagiso Rabada,SA,596,724
16,Shakib Al Hasan,BAN,594,717
17,Maheesh Theekshana,SL,591,611
18,Bernard Scholtz,NAM,589,589
19,Saurabh Netravalkar,USA,586,597
20,Haris Rauf,PAK,582,582
21,Jasprit Bumrah,IND,572,841
22,Lungi Ngidi,SA,568,621
23,Akeal Hosein,WI,563,597
24,Alzarri Joseph,WI,558,625
25,Jofra Archer,ENG,550,642
26,Mohammad Shami,IND,550,654
27,Reece Topley,ENG,549,549
28,Mustafizur Rahman,BAN,549,695
29,Andy McBrine,IRE,545,646
30,Pat Cummins,AUS,543,729
31,Sandeep Lamichhane,NEP,539,595
32,Mark Adair,IRE,529,565
33,Tabraiz Shamsi,SA,528,597
34,Mitchell Santner,NZ,526,663
35,Richard Ngarava,ZIM,518,524
36,Fazalhaq Farooqi,AFG,515,544
37,David Willey,ENG,510,569
38,Adil Rashid,ENG,510,687
39,Christopher Sole,SCO,509,511
40,Ruben Trumpelmann,NAM,508,510
41,Mark Wood,ENG,507,615
42,Mehedi Hasan,BAN,503,725
43,Mohammad Nawaz,PAK,501,549
44,Aayan Afzal Khan,UAE,500,517
45,Bilal Khan,OMA,499,545
46,Wanindu Hasaranga,SL,498,582
47,Ravindra Jadeja,IND,496,738
48,Shardul Thakur,IND,494,546
49,Craig Young,IRE,487,487
50,Logan van Beek,NED,487,492
51,Sean Abbott,AUS,486,496
52,Taskin Ahmed,BAN,484,528
53,Zeeshan Maqsood,OMA,483,510
54,Blessing Muzarabani,ZIM,482,515
55,Kaleemullah,OMA,481,481
56,Nosthush Kenjige,USA,479,479
57,Safyaan Sharif,SCO,477,542
58,Rohan Mustafa,UAE,473,523
59,Sikandar Raza,ZIM,468,494
60,Joshua Little,IRE,465,533
61,Hardik Pandya,IND,465,552
62,Shadab Khan,PAK,464,607
63,Assad Vala,PNG,464,467
64,Chad Soper,PNG,462,488
65,Naseem Shah,PAK,460,474
66,Fred Klaassen,NED,459,507
67,Dipendra Airee,NEP,458,482
68,Lachlan Ferguson,NZ,458,668
69,Moeen Ali,ENG,450,629
70,Zahoor Khan,UAE,446,490
71,Yuzvendra Chahal,IND,441,730
72,Ish Sodhi,NZ,440,509
73,Mohammad Shoriful Islam,BAN,439,439
74,Junaid Siddique,UAE,439,440
75,Tim Southee,NZ,437,638
76,Dushmantha Chameera,SL,436,552
77,Sam Curran,ENG,435,454
78,Aryan Dutt,NED,434,434
79,Anrich Nortje,SA,434,479
80,Taijul Islam,BAN,434,502
81,Michael Leask,SCO,431,439
82,Marco Jansen,SA,431,431
83,Jason Holder,WI,429,486
84,Tangeni Lungameni,NAM,421,443
85,Karan KC,NEP,418,424
86,Brandon McMullen,SCO,417,417
87,Simi Singh,IRE,416,507
88,Hasan Ali,PAK,414,766
89,Dhananjaya de Silva,SL,412,480
90,Gudakesh Motie-Kanhai,WI,411,411
91,Ashton Agar,AUS,411,456
92,Nisarg Patel,USA,409,414
93,Sompal Kami,NEP,409,457
94,Mohammad Wasim,PAK,408,446
95,Dunith Wellalage,SL,407,407
96,Gulbadin Naib,AFG,407,472
97,Lalit Rajbanshi,NEP,399,403
98,Kasun Rajitha,SL,391,415
99,Marcus Stoinis,AUS,389,426
100,Wayne Parnell,SA,386,550
