Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,343,453
2,Mohammad Nabi,AFG,299,349
3,Sikandar Raza,ZIM,287,287
4,Rashid Khan,AFG,251,359
5,Assad Vala,PNG,248,252
6,Zeeshan Maqsood,OMA,235,262
7,Hardik Pandya,IND,225,262
8,Mitchell Santner,NZ,225,317
9,Mehedi Hasan,BAN,212,295
10,Michael Leask,SCO,208,209
11,Glenn Maxwell,AUS,204,350
12,Josh Hazlewood,AUS,203,214
13,Wanindu Hasaranga,SL,199,252
14,Shadab Khan,PAK,198,221
15,Chris Woakes,ENG,197,312
16,Sean Williams,ZIM,195,241
17,Mark Watt,SCO,194,201
18,Brandon McMullen,SCO,185,185
19,Moeen Ali,ENG,183,306
20,Dhananjaya de Silva,SL,182,228
1,Babar Azam,PAK,835,898
2,Shubman Gill,IND,830,847
3,Rassie van der Dussen,SA,758,796
4,Harry Tector,IRE,729,729
5,David Warner,AUS,729,880
6,Quinton de Kock,SA,724,813
7,Virat Kohli,IND,715,911
8,Dawid Malan,ENG,711,711
9,Imam-ul-Haq,PAK,705,815
10,Heinrich Klaasen,SA,698,709
11,Rohit Sharma,IND,684,885
12,Shai Hope,WI,677,808
13,Fakhar Zaman,PAK,674,784
14,Steve Smith,AUS,671,752
15,David Miller,SA,661,661
16,Temba Bavuma,SA,655,691
17,Jos Buttler,ENG,651,741
18,Ibrahim Zadran,AFG,640,663
19,Lokesh Rahul,IND,633,657
20,Jason Roy,ENG,629,782
21,Aiden Markram,SA,627,627
22,Kariyawasa Asalanka,SL,625,635
23,Mushfiqur Rahim,BAN,625,739
24,Jonny Bairstow,ENG,623,796
25,Paul Stirling,IRE,623,697
26,Sikandar Raza,ZIM,615,627
27,Joe Root,ENG,615,824
28,Gerhard Erasmus,NAM,614,618
29,Travis Head,AUS,605,670
30,Marnus Labuschagne,AUS,604,604
31,Nicholas Pooran,WI,601,634
32,Shreyas Iyer,IND,598,673
33,Pathum Nissanka,SL,596,625
34,Kane Williamson,NZ,596,799
35,Devon Conway,NZ,595,598
36,Tom Latham,NZ,594,657
37,Ishan Kishan,IND,593,625
38,Rahmanullah Gurbaz,AFG,593,629
39,Mohammad Rizwan,PAK,586,586
40,Kusal Mendis,SL,586,631
41,Shakib Al Hasan,BAN,579,692
42,Alex Carey,AUS,577,669
43,Scott Edwards,NED,575,594
44,Rahmat Shah,AFG,570,635
45,Daryl Mitchell,NZ,567,600
46,Sean Williams,ZIM,566,571
47,Ben Stokes,ENG,565,694
48,Tamim Iqbal,BAN,561,737
49,Glenn Maxwell,AUS,559,735
50,Litton Das,BAN,548,627
