Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,288,408
2,Hardik Pandya,IND,240,266
3,Mohammad Nabi,AFG,224,355
4,Aiden Markram,SA,198,198
5,Marcus Stoinis,AUS,191,191
6,Shadab Khan,PAK,184,195
7,Wanindu Hasaranga,SL,182,186
8,J.J. Smit,NAM,174,185
9,Sikandar Raza,ZIM,173,184
10,David Wiese,NAM,170,170
11,Moeen Ali,ENG,163,221
12,Sean Williams,ZIM,160,232
13,Dipendra Airee,NEP,151,161
14,Glenn Maxwell,AUS,150,397
15,Liam Livingstone,ENG,146,179
16,Zeeshan Maqsood,OMA,145,180
17,Gerhard Erasmus,NAM,139,144
18,Luke Bichard,GSY,129,129
19,Rashid Khan,AFG,125,125
20,Bas de Leede,NED,123,123
