Pos,Player,Team,Rating,Career Best Rating
1,Shakib Al Hasan,BAN,288,408
2,Hardik Pandya,IND,235,266
3,Mohammad Nabi,AFG,224,355
4,Aiden Markram,SA,198,198
5,Marcus Stoinis,AUS,191,191
6,Wanindu Hasaranga,SL,182,186
7,Shadab Khan,PAK,181,195
8,J.J. Smit,NAM,174,185
9,Sikandar Raza,ZIM,173,184
10,David Wiese,NAM,170,170
11,Moeen Ali,ENG,163,221
12,Sean Williams,ZIM,160,232
13,Glenn Maxwell,AUS,150,397
14,Liam Livingstone,ENG,146,179
15,Gerhard Erasmus,NAM,139,144
16,Zeeshan Maqsood,OMA,134,180
17,Luke Bichard,GSY,129,129
18,Rashid Khan,AFG,125,125
19,Bas de Leede,NED,123,123
20,Imad Wasim,PAK,119,121
